Game Name~Release Date~GB_ReleaseDate~AppId~Url
Dragon Age: Origins~Nov 6, 2009~2009-11-03~17450~http://store.steampowered.com/app/17450
4PM~Jul 9, 2014~#NEED_DATA~281840~http://store.steampowered.com/app/281840
Sniper Elite 3 - Save Churchill Part 2: Belly of the Beast~Aug 21, 2014~#NEED_DATA~312690~http://store.steampowered.com/app/312690
Glass Wing Demo~Jun 24, 2015~#NEED_DATA~382580~http://store.steampowered.com/app/382580
CONSORTIUM~Jan 8, 2014~#NEED_DATA~264240~http://store.steampowered.com/app/264240
Cabela's Dangerous Hunts 2013 Demo~Oct 22, 2012~#NEED_DATA~225580~http://store.steampowered.com/app/225580
Shadows: Price For Our Sins~Mar 21, 2013~#NEED_DATA~260270~http://store.steampowered.com/app/260270
Galaxy Union~Jun 1, 2015~#NEED_DATA~365240~http://store.steampowered.com/app/365240
Spore: Creepy & Cute Parts Pack~Dec 19, 2008~#NOT_FOUND~17440~http://store.steampowered.com/app/17440
Dead Space~Oct 20, 2008~2011-01-25~17470~http://store.steampowered.com/app/17470
Worms Blast~Mar 30, 2002~#NEED_DATA~70650~http://store.steampowered.com/app/70650
Space Engineers~Oct 23, 2013~#NEED_DATA~244850~http://store.steampowered.com/app/244850
FSX: Steam Edition - Ben Gurion Airport~Mar 3, 2015~#NEED_DATA~352230~http://store.steampowered.com/app/352230
Hollywood Visionary Demo~May 1, 2015~#NEED_DATA~365220~http://store.steampowered.com/app/365220
Football Manager 2015 Demo~Nov 2014~#NEED_DATA~295330~http://store.steampowered.com/app/295330
Worms~Oct 30, 1995~#NEED_DATA~70640~http://store.steampowered.com/app/70640
Glass Wing~Jun 24, 2015~#NEED_DATA~382570~http://store.steampowered.com/app/382570
Mass Effect~May 28, 2008~2007-11-20~17460~http://store.steampowered.com/app/17460
Sniper Elite 3 - Save Churchill Part 1: In Shadows~Jul 17, 2014~#NEED_DATA~312680~http://store.steampowered.com/app/312680
Counter-Strike: Source~Nov 1, 2004~2004-08-11~240~http://store.steampowered.com/app/240
Rocksmith 2014 - Duran Duran - Rio~Aug 19, 2014~#NEED_DATA~294984~http://store.steampowered.com/app/294984
Rocksmith 2014 - Duran Duran Song Pack~Aug 19, 2014~#NEED_DATA~294985~http://store.steampowered.com/app/294985
The Novelist~Dec 10, 2013~#NEED_DATA~245150~http://store.steampowered.com/app/245150
Rocksmith 2014 - Bachsmith~Aug 26, 2014~#NEED_DATA~294990~http://store.steampowered.com/app/294990
Triple Town~Dec 6, 2012~#NEED_DATA~209950~http://store.steampowered.com/app/209950
Rocksmith 2014 - Biffy Clyro - Stingin' Belle~Aug 5, 2014~#NEED_DATA~294976~http://store.steampowered.com/app/294976
Rocksmith 2014 - Biffy Clyro Song Pack~Aug 5, 2014~#NEED_DATA~294977~http://store.steampowered.com/app/294977
Rocksmith 2014 - No Doubt - Don't Speak~Aug 12, 2014~#NEED_DATA~294978~http://store.steampowered.com/app/294978
Order of Battle : Pacific~Apr 30, 2015~#NEED_DATA~312450~http://store.steampowered.com/app/312450
Half-Life: Source~Jun 1, 2004~#NOT_FOUND~280~http://store.steampowered.com/app/280
Rocksmith 2014 - No Doubt - Ex-Girlfriend~Aug 12, 2014~#NEED_DATA~294979~http://store.steampowered.com/app/294979
Rocksmith 2014 - No Doubt - Spiderwebs~Aug 12, 2014~#NEED_DATA~294980~http://store.steampowered.com/app/294980
